,sub_basin,R2,adj_R2,n,Intercept_coef,sst_mean_coef,Intercept_pval,sst_mean_pval
0,Caribbean,0.5552548411013825,0.5446656706514155,44,101309.80747727274,-30.285745963092054,1.0923738648000328e-151,6.580067086205653e-09
1,Central Atlantic,0.025704424334363485,0.002506910628038872,44,102074.22454545452,-10.902214724916833,2.7619098965884327e-135,0.2985209588757148
2,Deep Tropics,0.4460168503686327,0.43282677537740977,44,101278.63684090906,-20.82721327205312,1.6426327491675962e-154,7.32747598077536e-07
3,Eastern Tropics,0.41689782737687675,0.4030144423144215,44,101362.44468181813,-28.46017563898623,9.525464329726508e-148,2.2154594601865104e-06
4,Gulf (A),0.17387818413118106,0.1537288715490147,43,101604.45367441862,-27.745647815588114,7.158856735534338e-134,0.005406657067474813
5,Gulf (B),0.3120333035003341,0.29565314405986587,44,101380.01081818187,-31.498640596751518,9.477254383158155e-142,8.126811220764255e-05
6,Northeastern Seaboard,0.05676386878893158,0.034305865664858604,44,101557.76379545455,-17.68369033574299,6.844689496456762e-134,0.11937354134664167
7,Southeastern Seaboard,0.13788659536210657,0.11736008572787104,44,101735.85225,-22.36992573873453,1.5018233126311762e-138,0.013077065670970086
8,Subtropical Atlantic,0.34423160785540363,0.32435983839647653,35,101769.10119999999,-24.96606508676832,4.158776380102377e-116,0.00021192114469741264
