,sub_basin,R2,adj_R2,n,Intercept_coef,sst_mean_coef,gpi_coef,Intercept_pval,sst_mean_pval,gpi_pval
0,Caribbean,0.6785262223195752,0.6628445746278471,44,101309.80747727274,-18.399962084906765,-18.571592849025475,5.325355413673215e-151,0.0003209672694247725,0.0002873511899693058
1,Central Atlantic,0.025772629504333233,-0.02175065686130906,44,102074.22454545452,-10.740645182465908,-0.5843698744451968,4.244396452417568e-132,0.3305370570593917,0.9575331730400735
2,Deep Tropics,0.47454361414611534,0.4489115953239746,44,101278.63684090908,-17.402390105313277,-6.282759096263417,2.453842477514189e-151,0.00017258409660498566,0.14337135161881548
3,Eastern Tropics,0.4234788561044759,0.3953558734754259,44,101362.44468181818,-24.27454631606817,-5.505054809078734,2.30030144353981e-144,0.004376814799426978,0.49774927553024195
4,Gulf (A),0.21689104891508737,0.17773560136084166,43,101604.45367441862,-21.579135993254578,-15.114867509933081,4.178495838700347e-131,0.040604099655627515,0.14611293961906824
5,Gulf (B),0.42237425970403164,0.39419739432374046,44,101380.0108181818,-19.40050293628591,-22.29827946450158,5.773668900481919e-140,0.019334845577426065,0.007787118272753904
6,Northeastern Seaboard,0.06063025340351125,0.014807338935389769,44,101557.76379545455,-13.71279378730886,-6.088348164730116,8.970578650365143e-131,0.3602571177073319,0.6833613041654845
7,Southeastern Seaboard,0.13789992303034626,0.0958462607391436,44,101735.85225,-22.168840621088624,-0.29799927419550537,2.7633714483934575e-135,0.06822224967743876,0.9800365607027546
8,Subtropical Atlantic,0.37289982947762124,0.33370606881997256,35,101769.10119999999,-18.32941482928293,-9.795663740183688,6.098792205750647e-113,0.030542923349527403,0.23532985481258356
