#,Regular,latitude-longitude,polygonal,regions,delineating,TC,subbasins,NAtl
#,
#,Structure,of,file,is,as,follows:
#
#,<number,of,subbasins>
#,<sub,basin,name>,,<number,of,vertices,in,polygon>,,<lon,of,vertices>,,<lat,of,vertices>
#
#,Note,that,coordinate,of,vertices,must,be,specified,in,counter-clockwise,order
#
#13
"Northeastern Seaboard",5,265,295,310,310,285,35,35,45,55,55
"Subtropical Atlantic",7,305,330,320,20,20,354,354,35,35,20,20,30,30,35
"Mid-latitudinal US/CA",4,255,255,265,285,55,35,35,55
"Arctic",11,255,255,310,310,335,340,355,355,20,20,20,90,55,55,45,45,55,55,50,50,55,90
"Southeastern Seaboard",7,278,278,280,285,300,300,295,35,23.25,23.5,21,20,20,35
"Mediterranean Sea",6,0,354,354,20,20,0,42,42,30,30,50,50
"Central Atlantic",6,310,295,300,320,330,335,45,35,20,20,35,45
"Mid-latitudinal Atlantic",8,340,330,354,354,0,0,355,355,55,35,35,42,42,50,50,55
"Caribbean",13,300,300,285,280,278,275,275,272,270,268,278,284,300,20,20,21,23.5,23.25,23,22,22,17,17,8.5,8.5,8.5
"Eastern Tropics",4,300,300,20,20,20,8.5,8.5,20
"Deep Tropics",5,20,20,284,284,282,0,8.5,8.5,3,0
"Gulf (A)",4,278,278,267,267,25,35,35,25
"Gulf (B)",12,278,278,267,267,255,255,263,270,272,275,275,278,24,25,25,35,35,25,17,17,22,22,23,23.5
