,sub_basin,R2,adj_R2,n,Intercept_coef,rh600_coef,Intercept_pval,rh600_pval
0,Caribbean,0.127336426785149,0.10655872266098598,44,101309.80747727274,-14.503353342559308,1.5339763956504178e-145,0.01741861126926446
1,Central Atlantic,0.0355329907902191,0.012569490570938702,44,102074.22454545452,-12.81818903719794,2.2322309043350647e-135,0.22042241529291248
2,Deep Tropics,0.06211461219185044,0.03978400772022794,44,101278.63684090908,-7.77235126649033,1.0405373118010669e-149,0.10279362027816188
3,Eastern Tropics,0.020978862855938862,-0.002331164218919657,44,101362.44468181819,-6.384306549564684,5.068518917543228e-143,0.34821058641307107
4,Gulf (A),0.015382094756220543,-0.008632976103383871,43,101604.45367441862,-8.252396049399959,2.614734893628519e-132,0.4281363245513014
5,Gulf (B),0.01774003197664742,-0.005647110119146648,44,101380.01081818184,-7.5104945581489675,1.6769547645038022e-138,0.3887376204276326
6,Northeastern Seaboard,0.05952280340784988,0.037130489203275,44,101557.76379545455,-18.108338167651667,6.4363319823019945e-134,0.11049631130270997
7,Southeastern Seaboard,0.1914525743992036,0.17220144521823233,44,101735.85225,-26.35931520859311,3.9046501419493506e-139,0.0029763144389439067
8,Subtropical Atlantic,0.2717889998020361,0.24972199979603715,35,101769.10119999999,-22.184041213686314,2.3432948537849958e-115,0.001320786793987639
