,sub_basin,R2,adj_R2,n,Intercept_coef,sst_mean_coef,gpi_coef,ike_mean_coef,Intercept_pval,sst_mean_pval,gpi_pval,ike_mean_pval
0,Caribbean,0.686644698828554,0.6631430512406955,44,101309.80747727274,-17.601106747690316,-17.760417148800986,-3.941643544557545,1.420891235550194e-147,0.0006338651861206042,0.0005770697858351681,0.3147949681986052
1,Central Atlantic,0.03222925637874252,-0.04035354939285174,44,102074.22454545452,-11.827683576633632,0.4999335234366559,5.6179438097938785,5.7204499530428465e-129,0.29751916688656876,0.9646330308429072,0.6082863970735987
2,Deep Tropics,0.4745441253318696,0.4351349347317599,44,101278.63684090908,-17.394695951668755,-6.291832392142672,-0.0237184970018884,1.1128278078872116e-147,0.00033886545288321773,0.1702014616274807,0.9950537692276349
3,Eastern Tropics,0.5585031112848649,0.5253908446312298,44,101362.44468181819,-17.345179892319766,-7.093338632383873,-17.20867363418864,3.392935414561519e-143,0.024126522563223205,0.32670819399736284,0.0011656408210489644
4,Gulf (A),0.31720303822962037,0.2646801950165143,43,101604.45367441862,-22.574357445822454,-9.791256109367094,-21.659301327241884,5.041165902791611e-129,0.024563693730740733,0.3285731020087218,0.021589256202334164
5,Gulf (B),0.5180658008435132,0.48192073590677664,44,101380.0108181818,-19.812768565617667,-19.826423478506204,-17.590969059696402,3.694109782501601e-138,0.01041520089105215,0.010857598688406333,0.0074708551186410364
6,Northeastern Seaboard,0.21118163394260248,0.15202025648829764,44,101557.76379545455,3.1245798173596997,-14.173878673145648,-31.633514939011093,3.896582065634735e-129,0.836476612068041,0.31939952954249745,0.008612781726799811
7,Southeastern Seaboard,0.2557213442504007,0.1999004450691808,44,101735.85225,-14.76077604734923,-3.8743598436570292,-21.436141037851524,2.692059862368533e-133,0.20735413617291024,0.7317859934644166,0.015970487128816536
8,Subtropical Atlantic,0.39623603308272426,0.33780726209072987,35,101769.10119999999,-17.315158041531276,-10.668636716424142,-6.545700204623648,1.0393710074381516e-109,0.041162752766029674,0.19816636564165538,0.2821166144470981
