,sub_basin,R2,adj_R2,n,Intercept_coef,ike_mean_coef,Intercept_pval,ike_mean_pval
0,Caribbean,0.15085147166293567,0.13063364955967227,44,101309.80747727274,-15.785810098785216,8.643542848688055e-146,0.009178634554090381
1,Central Atlantic,0.0032737981797063,-0.0204577780541102,44,102074.22454545452,3.8907806010156865,4.45448454132094e-135,0.7121935585996453
2,Deep Tropics,0.000570520710599709,-0.02322541927248123,44,101278.63684090908,-0.7448884464378994,3.952826066234245e-149,0.8776888710423856
3,Eastern Tropics,0.30876766276818735,0.2923097499769538,44,101362.44468181819,-24.492812916168088,3.391197712914714e-146,9.01820535457183e-05
4,Gulf (A),0.1423983528421341,0.12148123949682021,43,101604.45367441862,-25.1087333260101,1.540971553819971e-133,0.012610931216864957
5,Gulf (B),0.14096169454986762,0.12050840156295983,44,101380.01081818184,-21.171025369413258,1.0046839774387322e-139,0.012026202764315331
6,Northeastern Seaboard,0.18343291093434322,0.16399083738516096,44,101557.76379545455,-31.788902660111557,3.3124907539603074e-135,0.0037272424616898387
7,Southeastern Seaboard,0.17404778145614141,0.15438225244319248,44,101735.85225,-25.13261995827195,6.106888709863118e-139,0.004841641015407078
8,Subtropical Atlantic,0.0299268277161715,0.0005306709802979093,35,101769.10119999999,-7.3613093267606144,2.659845560907286e-113,0.32032282029131304
