,sub_basin,R2,adj_R2,n,Intercept_coef,shear_coef,Intercept_pval,shear_pval
0,Caribbean,0.47428527020243805,0.4617682528263056,44,101309.80747727274,27.990581233781054,3.662590988962059e-150,2.3719870320599567e-07
1,Central Atlantic,0.2756584692631312,0.2584122423408248,44,102074.22454545452,-35.702321829536025,5.464070249975424e-138,0.0002531411598813923
2,Deep Tropics,0.5281061905798168,0.51687062368886,44,101278.63684090908,22.662935366600642,5.66034327979769e-156,2.337061593962894e-08
3,Eastern Tropics,0.470887830198388,0.4582899213935877,44,101362.44468181819,30.24694337547711,1.2380869820973747e-148,2.724510266251176e-07
4,Gulf (A),0.09973856981687657,0.07778097395875161,43,101604.45367441862,-21.013765888200645,4.1686624850243045e-133,0.03910910134100984
5,Gulf (B),0.01067433449263,-0.012881038495640595,44,101380.01081818184,5.825882758370159,1.9493543070062477e-138,0.5045260056891578
6,Northeastern Seaboard,0.028031233724344462,0.0048891202415908275,44,101557.76379545455,-12.42676294596961,1.2853550728204933e-133,0.27734967783064
7,Southeastern Seaboard,0.030518167150506703,0.007435266368375992,44,101735.85225,-10.524046101859476,1.7664417954828731e-137,0.2567188472937226
8,Subtropical Atlantic,0.0010761389885801664,-0.029194281042068893,35,101769.10119999999,1.3959147902436144,4.3138656876683554e-113,0.8516008211749058
