,sub_basin,R2,adj_R2,n,Intercept_coef,gpi_coef,Intercept_pval,gpi_pval
0,Caribbean,0.5575227562746556,0.5469875838050047,44,101309.80747727274,-30.34753336666443,9.811721886314097e-152,5.899101710545784e-09
1,Central Atlantic,0.002731572556822659,-0.02101291381087189,44,102074.22454545452,-3.553997850888581,4.505650960735363e-135,0.736167328603838
2,Deep Tropics,0.25568205415234024,0.23796019829882464,44,101278.63684090908,-15.769054508191916,8.110375322326068e-152,0.00046303763069748335
3,Eastern Tropics,0.2955192967720368,0.2787459466951806,44,101362.44468181819,-23.961592733810537,5.05241753106784e-146,0.00013696953165494383
4,Gulf (A),0.12921968088324665,0.10798113651454533,43,101604.45367441862,-23.91864942404517,2.1065221895000373e-133,0.017908999311748327
5,Gulf (B),0.33884858120730843,0.3231068807598635,44,101380.01081818184,-32.82420168100338,4.1123163135618715e-142,3.400118543724092e-05
6,Northeastern Seaboard,0.041016623116355566,0.018183685571506958,44,101557.76379545455,-15.0320031670521,9.690748971784382e-134,0.18735652921079174
7,Southeastern Seaboard,0.06414182287734516,0.041859485326805834,44,101735.85225,-15.257176394370685,8.417382914724885e-138,0.09716487616424373
8,Subtropical Atlantic,0.2725237528276484,0.25047901806484985,35,101769.10119999999,-22.214007088100985,2.3045867188710035e-115,0.0012974948986809829
